date,saron,3m_libor,5y_bond,10y_bond,reer_eu_ppi,cpi,unemployment,employment,gdp,5y_unemp_forecast,5y_cpi_forecast,3m_interest_forecast,12m_interest_forecast,ex_av,ex_eom,ppi_eur,ppi_ch,Date,policy_rate
Jan 1990,NA,9.6875,6.269,6.04,93.8532,76.9656514527248,0.308854659626332,NA,114400.886270401,NA,NA,NA,NA,NA,NA,NA,101.3526,NA,NA
Feb 1990,NA,9.3125,6.714,6.292,95.1205,77.0666072436566,0.299994811069376,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.9114,NA,NA
Mär 1990,NA,9,6.717,6.475,95.437,77.3738207796267,0.357603797301331,NA,NA,NA,NA,NA,NA,NA,NA,NA,102.4493,NA,NA
Apr 1990,NA,9.375,6.745,6.629,95.7885,77.7383972962118,0.410901587447432,NA,114879.649024277,NA,NA,NA,NA,NA,NA,NA,102.6962,NA,NA
Mai 1990,NA,8.8125,6.355,6.3,99.232,78.0201945897907,0.465542090550251,NA,NA,NA,NA,NA,NA,NA,NA,NA,103.091,NA,NA
Jun 1990,NA,9,6.246,6.147,99.981,78.2280467645753,0.546741605360257,NA,NA,NA,NA,NA,NA,NA,NA,NA,102.8775,NA,NA
Jul 1990,NA,8.95313,6.08,6.078,99.6427,78.5945048321076,0.561706132671081,NA,114815.332111244,NA,NA,NA,NA,NA,NA,NA,102.9946,NA,NA
Aug 1990,NA,8.625,6.566,6.484,101.1552,79.1336976078623,0.592961628742588,NA,NA,NA,NA,NA,NA,NA,NA,NA,103.0891,NA,NA
Sep 1990,NA,8.25,6.555,6.509,101.1568,79.615242944113,0.616829255129071,NA,NA,NA,NA,NA,NA,NA,NA,NA,103.2308,NA,NA
Okt 1990,NA,8.3125,6.553,6.491,99.4014,80.1096840604605,0.638201592627489,NA,114151.645615259,NA,NA,NA,NA,NA,NA,NA,102.939,NA,NA
Nov 1990,NA,8.9375,6.677,6.563,98.9766,80.4553469842573,0.605691300195047,NA,NA,NA,NA,NA,NA,NA,NA,NA,102.7618,NA,NA
Dez 1990,NA,8.75,6.643,6.601,98.2099,80.7749219141917,0.602846569992163,NA,NA,NA,NA,NA,NA,NA,NA,NA,102.7525,NA,NA
Jan 1991,NA,8.125,6.402,6.415,99.7982,81.2726340634863,0.588070077103869,NA,114404.071865659,NA,NA,NA,NA,NA,NA,NA,103.2732,NA,NA
Feb 1991,NA,8.25,6.271,6.221,98.5837,81.8072010585505,0.649350928819027,NA,NA,NA,NA,NA,NA,NA,NA,NA,103.5647,NA,NA
Mär 1991,NA,8.625,6.185,6.155,97.839,81.9588394669107,0.77244857129859,NA,NA,NA,NA,NA,NA,NA,NA,NA,103.4985,NA,NA
Apr 1991,NA,8.625,6.146,6.016,99.4084,82.2142691532084,0.881354503181405,NA,113215.52787766,NA,NA,NA,NA,NA,NA,NA,103.6601,NA,NA
Mai 1991,NA,8,5.844,5.813,99.6982,82.876281840603,0.993856531200999,NA,NA,NA,NA,NA,NA,NA,NA,NA,104.0515,NA,NA
Jun 1991,NA,8,5.964,5.971,98.4946,83.3262208338199,1.09185811842991,NA,NA,NA,NA,NA,NA,NA,NA,NA,104.1461,NA,NA
Jul 1991,NA,7.9375,6.123,5.996,97.5221,83.6144678319658,1.15767354819266,NA,113124.624189471,NA,NA,NA,NA,NA,NA,NA,104.3712,NA,NA
Aug 1991,NA,8.0625,6.248,6.107,97.0991,83.9064883548984,1.23117863904672,NA,NA,NA,NA,NA,NA,NA,NA,NA,104.3826,NA,NA
Sep 1991,NA,8.25,6.301,6.198,96.5697,84.0877313510416,1.29867054105609,NA,NA,NA,NA,NA,NA,NA,NA,NA,104.2911,NA,NA
Okt 1991,NA,8.375,6.88,6.698,96.7598,84.3348726160636,1.38571010635396,NA,113349.745694768,NA,NA,NA,NA,NA,NA,NA,104.4893,NA,NA
Nov 1991,NA,8.125,6.653,6.637,95.5491,84.8806501081977,1.42713951287796,NA,NA,NA,NA,NA,NA,NA,NA,NA,104.3175,NA,NA
Dez 1991,NA,8.1875,6.35,6.37,95.7788,85.0811660876252,1.52175315971571,NA,NA,NA,NA,NA,NA,NA,NA,NA,104.2914,NA,NA
Jan 1992,NA,7.5,6.143,6.175,95.0726,85.2449028290859,1.64642792133204,NA,113996.490800142,NA,NA,NA,NA,NA,NA,NA,104.1909,NA,NA
Feb 1992,NA,7.6875,6.222,6.132,93.5613,85.5766199829246,1.78929810017648,NA,NA,NA,NA,NA,NA,NA,NA,NA,104.1429,NA,NA
Mär 1992,NA,8.9375,6.546,6.676,92.8956,85.8548818052636,1.97151631584867,NA,NA,NA,NA,NA,NA,NA,NA,NA,104.7427,NA,NA
Apr 1992,NA,8.875,6.639,6.545,91.4427,86.0972250408684,2.1426224765951,NA,113898.785703716,NA,NA,NA,NA,NA,NA,NA,104.6897,NA,NA
Mai 1992,NA,9.4375,6.828,6.861,91.6005,86.3839568283566,2.29751302249257,NA,NA,NA,NA,NA,NA,NA,NA,NA,105.0205,NA,NA
Jun 1992,NA,9.25,7.048,6.924,92.8628,86.7344040735615,2.46500235353896,NA,NA,NA,NA,NA,NA,NA,NA,NA,104.9585,NA,NA
Jul 1992,NA,8.625,7.048,6.867,94.387,86.7991496033364,2.6167057037671,NA,113071.795866845,NA,NA,NA,NA,NA,NA,NA,104.9328,NA,NA
Aug 1992,NA,7.875,6.913,6.854,94.3764,86.8534436760317,2.76520995451119,NA,NA,NA,NA,NA,NA,NA,NA,NA,104.7537,NA,NA
Sep 1992,NA,6.98438,6.393,6.292,97.1147,87.0293697622596,2.97266044036813,NA,NA,NA,NA,NA,NA,NA,NA,NA,104.8316,NA,NA
Okt 1992,NA,6.375,5.865,6.092,98.7737,87.3109011519037,3.13847865748423,NA,112504.551107261,NA,NA,NA,NA,NA,NA,NA,105.0808,NA,NA
Nov 1992,NA,6.70313,5.913,6.063,96.7678,87.7958578267994,3.30855390324345,NA,NA,NA,NA,NA,NA,NA,NA,NA,105.1721,NA,NA
Dez 1992,NA,6,5.466,5.68,97.7633,88.0293394121087,3.47665828678003,NA,NA,NA,NA,NA,NA,NA,NA,NA,105.15,NA,NA
Jan 1993,NA,5.4375,5.263,5.539,96.5422,88.2191529920253,3.68319911684626,NA,112130.612910878,NA,NA,NA,NA,NA,NA,NA,105.2831,NA,NA
Feb 1993,NA,5.5,4.899,4.907,95.4647,88.523790035375,3.84959158248543,NA,NA,NA,NA,NA,NA,NA,NA,NA,104.9867,NA,NA
Mär 1993,NA,5.1875,4.566,4.688,96.5946,88.9364542902635,4.04463693308852,NA,NA,NA,NA,NA,NA,NA,NA,NA,105.6277,NA,NA
Apr 1993,NA,5.125,4.582,4.845,96.9379,89.2984779577868,4.238815283651,NA,113159.392915089,NA,NA,NA,NA,NA,NA,NA,105.3558,NA,NA
Mai 1993,NA,5.15625,4.474,4.846,97.6055,89.4811243822066,4.38185356876105,NA,NA,NA,NA,NA,NA,NA,NA,NA,105.3337,NA,NA
Jun 1993,NA,5.03125,4.432,4.566,98.6789,89.4992889806957,4.56589991866148,NA,NA,NA,NA,NA,NA,NA,NA,NA,105.5291,NA,NA
Jul 1993,NA,4.6875,4.434,4.546,100.2537,89.701895902749,4.69899036202921,NA,113590.888217179,NA,NA,NA,NA,NA,NA,NA,105.6549,NA,NA
Aug 1993,NA,4.8125,4.392,4.479,101.4749,89.9056918126715,4.81894047839786,NA,NA,NA,NA,NA,NA,NA,NA,NA,105.4546,NA,NA
Sep 1993,NA,4.75,4.264,4.455,102.644,90.0161615416462,4.91051276155334,NA,NA,NA,NA,NA,NA,NA,NA,NA,105.2872,NA,NA
Okt 1993,NA,4.5625,4.056,4.208,102.1812,90.0808293847599,4.92066228957624,NA,114212.495885494,NA,NA,NA,NA,NA,NA,NA,105.0239,NA,NA
Nov 1993,NA,4.5,4.015,4.247,101.3146,89.9631346319505,4.9657496887215,NA,NA,NA,NA,NA,NA,NA,NA,NA,104.6006,NA,NA
Dez 1993,NA,4.125,3.781,4.136,104.2003,90.1308068907845,4.97860653085761,NA,NA,NA,NA,NA,NA,NA,NA,NA,104.7306,NA,NA
