Division économique,Taux d'occupation,Sexe,Trimestre,"Emplois selon la division économique, le taux d'occupation et le sexe"
5-96 Total,Taux d'occupation - total,Sexe - total,1991Q3,4189382
5-96 Total,Taux d'occupation - total,Sexe - total,1991Q4,4102129
5-96 Total,Taux d'occupation - total,Sexe - total,1992Q1,4110155
5-96 Total,Taux d'occupation - total,Sexe - total,1992Q2,4131880
5-96 Total,Taux d'occupation - total,Sexe - total,1992Q3,4083002
5-96 Total,Taux d'occupation - total,Sexe - total,1992Q4,3967781
5-96 Total,Taux d'occupation - total,Sexe - total,1993Q1,3932890
5-96 Total,Taux d'occupation - total,Sexe - total,1993Q2,4005381
5-96 Total,Taux d'occupation - total,Sexe - total,1993Q3,3990036
5-96 Total,Taux d'occupation - total,Sexe - total,1993Q4,3930425
5-96 Total,Taux d'occupation - total,Sexe - total,1994Q1,3902415
5-96 Total,Taux d'occupation - total,Sexe - total,1994Q2,3915090
5-96 Total,Taux d'occupation - total,Sexe - total,1994Q3,3972066
5-96 Total,Taux d'occupation - total,Sexe - total,1994Q4,3928851
5-96 Total,Taux d'occupation - total,Sexe - total,1995Q1,3938711
5-96 Total,Taux d'occupation - total,Sexe - total,1995Q2,3942750
5-96 Total,Taux d'occupation - total,Sexe - total,1995Q3,3957710
5-96 Total,Taux d'occupation - total,Sexe - total,1995Q4,3906925
5-96 Total,Taux d'occupation - total,Sexe - total,1996Q1,3888136
5-96 Total,Taux d'occupation - total,Sexe - total,1996Q2,3909793
5-96 Total,Taux d'occupation - total,Sexe - total,1996Q3,3898628
5-96 Total,Taux d'occupation - total,Sexe - total,1996Q4,3852869
5-96 Total,Taux d'occupation - total,Sexe - total,1997Q1,3841043
5-96 Total,Taux d'occupation - total,Sexe - total,1997Q2,3857746
5-96 Total,Taux d'occupation - total,Sexe - total,1997Q3,3884424
5-96 Total,Taux d'occupation - total,Sexe - total,1997Q4,3849158
5-96 Total,Taux d'occupation - total,Sexe - total,1998Q1,3859363
5-96 Total,Taux d'occupation - total,Sexe - total,1998Q2,3901885
5-96 Total,Taux d'occupation - total,Sexe - total,1998Q3,3919615
5-96 Total,Taux d'occupation - total,Sexe - total,1998Q4,3895956
5-96 Total,Taux d'occupation - total,Sexe - total,1999Q1,3911130
5-96 Total,Taux d'occupation - total,Sexe - total,1999Q2,3964335
5-96 Total,Taux d'occupation - total,Sexe - total,1999Q3,4002812
5-96 Total,Taux d'occupation - total,Sexe - total,1999Q4,4008445
5-96 Total,Taux d'occupation - total,Sexe - total,2000Q1,4033439
5-96 Total,Taux d'occupation - total,Sexe - total,2000Q2,4084757
5-96 Total,Taux d'occupation - total,Sexe - total,2000Q3,4107383
5-96 Total,Taux d'occupation - total,Sexe - total,2000Q4,4105797
5-96 Total,Taux d'occupation - total,Sexe - total,2001Q1,4123076
5-96 Total,Taux d'occupation - total,Sexe - total,2001Q2,4140748
5-96 Total,Taux d'occupation - total,Sexe - total,2001Q3,4167660
5-96 Total,Taux d'occupation - total,Sexe - total,2001Q4,4140296
5-96 Total,Taux d'occupation - total,Sexe - total,2002Q1,4133916
5-96 Total,Taux d'occupation - total,Sexe - total,2002Q2,4148417
5-96 Total,Taux d'occupation - total,Sexe - total,2002Q3,4185770
5-96 Total,Taux d'occupation - total,Sexe - total,2002Q4,4128724
5-96 Total,Taux d'occupation - total,Sexe - total,2003Q1,4109279
5-96 Total,Taux d'occupation - total,Sexe - total,2003Q2,4130190
5-96 Total,Taux d'occupation - total,Sexe - total,2003Q3,4148146
5-96 Total,Taux d'occupation - total,Sexe - total,2003Q4,4133841
5-96 Total,Taux d'occupation - total,Sexe - total,2004Q1,4130897
5-96 Total,Taux d'occupation - total,Sexe - total,2004Q2,4156087
5-96 Total,Taux d'occupation - total,Sexe - total,2004Q3,4178110
5-96 Total,Taux d'occupation - total,Sexe - total,2004Q4,4154507
5-96 Total,Taux d'occupation - total,Sexe - total,2005Q1,4142735
5-96 Total,Taux d'occupation - total,Homme,1991Q3,2479318
5-96 Total,Taux d'occupation - total,Homme,1991Q4,2397866
5-96 Total,Taux d'occupation - total,Homme,1992Q1,2411046
5-96 Total,Taux d'occupation - total,Homme,1992Q2,2434987
5-96 Total,Taux d'occupation - total,Homme,1992Q3,2410037
5-96 Total,Taux d'occupation - total,Homme,1992Q4,2329105
5-96 Total,Taux d'occupation - total,Homme,1993Q1,2300333
5-96 Total,Taux d'occupation - total,Homme,1993Q2,2360850
5-96 Total,Taux d'occupation - total,Homme,1993Q3,2351489
5-96 Total,Taux d'occupation - total,Homme,1993Q4,2301747
5-96 Total,Taux d'occupation - total,Homme,1994Q1,2287496
5-96 Total,Taux d'occupation - total,Homme,1994Q2,2305612
5-96 Total,Taux d'occupation - total,Homme,1994Q3,2333322
5-96 Total,Taux d'occupation - total,Homme,1994Q4,2298364
5-96 Total,Taux d'occupation - total,Homme,1995Q1,2298898
5-96 Total,Taux d'occupation - total,Homme,1995Q2,2306352
5-96 Total,Taux d'occupation - total,Homme,1995Q3,2316503
5-96 Total,Taux d'occupation - total,Homme,1995Q4,2274696
5-96 Total,Taux d'occupation - total,Homme,1996Q1,2266791
5-96 Total,Taux d'occupation - total,Homme,1996Q2,2279600
5-96 Total,Taux d'occupation - total,Homme,1996Q3,2280014
5-96 Total,Taux d'occupation - total,Homme,1996Q4,2229598
5-96 Total,Taux d'occupation - total,Homme,1997Q1,2219767
5-96 Total,Taux d'occupation - total,Homme,1997Q2,2228398
5-96 Total,Taux d'occupation - total,Homme,1997Q3,2244690
5-96 Total,Taux d'occupation - total,Homme,1997Q4,2218885
5-96 Total,Taux d'occupation - total,Homme,1998Q1,2222201
5-96 Total,Taux d'occupation - total,Homme,1998Q2,2259915
5-96 Total,Taux d'occupation - total,Homme,1998Q3,2267460
5-96 Total,Taux d'occupation - total,Homme,1998Q4,2238866
5-96 Total,Taux d'occupation - total,Homme,1999Q1,2243778
5-96 Total,Taux d'occupation - total,Homme,1999Q2,2279254
5-96 Total,Taux d'occupation - total,Homme,1999Q3,2292796
5-96 Total,Taux d'occupation - total,Homme,1999Q4,2284501
5-96 Total,Taux d'occupation - total,Homme,2000Q1,2294092
5-96 Total,Taux d'occupation - total,Homme,2000Q2,2323160
5-96 Total,Taux d'occupation - total,Homme,2000Q3,2332701
5-96 Total,Taux d'occupation - total,Homme,2000Q4,2322299
5-96 Total,Taux d'occupation - total,Homme,2001Q1,2334331
5-96 Total,Taux d'occupation - total,Homme,2001Q2,2355789
5-96 Total,Taux d'occupation - total,Homme,2001Q3,2368923
