"CubeId";"devkum"
"PublishingDate";"2026-06-01 14:30"

"Date";"D0";"D1";"Value"
"1972-01";"M1";"EUR1";
"1972-02";"M1";"EUR1";
"1972-03";"M1";"EUR1";
"1972-04";"M1";"EUR1";
"1972-05";"M1";"EUR1";
"1972-06";"M1";"EUR1";
"1972-07";"M1";"EUR1";
"1972-08";"M1";"EUR1";
"1972-09";"M1";"EUR1";
"1972-10";"M1";"EUR1";
"1972-11";"M1";"EUR1";
"1972-12";"M1";"EUR1";
"1973-01";"M1";"EUR1";
"1973-02";"M1";"EUR1";
"1973-03";"M1";"EUR1";
"1973-04";"M1";"EUR1";
"1973-05";"M1";"EUR1";
"1973-06";"M1";"EUR1";
"1973-07";"M1";"EUR1";
"1973-08";"M1";"EUR1";
"1973-09";"M1";"EUR1";
"1973-10";"M1";"EUR1";
"1973-11";"M1";"EUR1";
"1973-12";"M1";"EUR1";
"1974-01";"M1";"EUR1";
"1974-02";"M1";"EUR1";
"1974-03";"M1";"EUR1";
"1974-04";"M1";"EUR1";
"1974-05";"M1";"EUR1";
"1974-06";"M1";"EUR1";
"1974-07";"M1";"EUR1";
"1974-08";"M1";"EUR1";
"1974-09";"M1";"EUR1";
"1974-10";"M1";"EUR1";
"1974-11";"M1";"EUR1";
"1974-12";"M1";"EUR1";
"1975-01";"M1";"EUR1";
"1975-02";"M1";"EUR1";
"1975-03";"M1";"EUR1";
"1975-04";"M1";"EUR1";
"1975-05";"M1";"EUR1";
"1975-06";"M1";"EUR1";
"1975-07";"M1";"EUR1";
"1975-08";"M1";"EUR1";
"1975-09";"M1";"EUR1";
"1975-10";"M1";"EUR1";
"1975-11";"M1";"EUR1";
"1975-12";"M1";"EUR1";
"1976-01";"M1";"EUR1";
"1976-02";"M1";"EUR1";
"1976-03";"M1";"EUR1";
"1976-04";"M1";"EUR1";
"1976-05";"M1";"EUR1";
"1976-06";"M1";"EUR1";
"1976-07";"M1";"EUR1";
"1976-08";"M1";"EUR1";
"1976-09";"M1";"EUR1";
"1976-10";"M1";"EUR1";
"1976-11";"M1";"EUR1";
"1976-12";"M1";"EUR1";
"1977-01";"M1";"EUR1";
"1977-02";"M1";"EUR1";
"1977-03";"M1";"EUR1";
"1977-04";"M1";"EUR1";
"1977-05";"M1";"EUR1";
"1977-06";"M1";"EUR1";
"1977-07";"M1";"EUR1";
"1977-08";"M1";"EUR1";
"1977-09";"M1";"EUR1";
"1977-10";"M1";"EUR1";
"1977-11";"M1";"EUR1";
"1977-12";"M1";"EUR1";
"1978-01";"M1";"EUR1";
"1978-02";"M1";"EUR1";
"1978-03";"M1";"EUR1";
"1978-04";"M1";"EUR1";
"1978-05";"M1";"EUR1";
"1978-06";"M1";"EUR1";
"1978-07";"M1";"EUR1";
"1978-08";"M1";"EUR1";
"1978-09";"M1";"EUR1";
"1978-10";"M1";"EUR1";
"1978-11";"M1";"EUR1";
"1978-12";"M1";"EUR1";
"1979-01";"M1";"EUR1";
"1979-02";"M1";"EUR1";
"1979-03";"M1";"EUR1";
"1979-04";"M1";"EUR1";
"1979-05";"M1";"EUR1";
"1979-06";"M1";"EUR1";
"1979-07";"M1";"EUR1";
"1979-08";"M1";"EUR1";
"1979-09";"M1";"EUR1";
"1979-10";"M1";"EUR1";
"1979-11";"M1";"EUR1";
"1979-12";"M1";"EUR1";
"1980-01";"M1";"EUR1";
"1980-02";"M1";"EUR1";
"1980-03";"M1";"EUR1";
"1980-04";"M1";"EUR1";
"1980-05";"M1";"EUR1";
"1980-06";"M1";"EUR1";
"1980-07";"M1";"EUR1";
"1980-08";"M1";"EUR1";
"1980-09";"M1";"EUR1";
"1980-10";"M1";"EUR1";
"1980-11";"M1";"EUR1";
"1980-12";"M1";"EUR1";
"1981-01";"M1";"EUR1";
"1981-02";"M1";"EUR1";
"1981-03";"M1";"EUR1";
"1981-04";"M1";"EUR1";
"1981-05";"M1";"EUR1";
"1981-06";"M1";"EUR1";
"1981-07";"M1";"EUR1";
"1981-08";"M1";"EUR1";
"1981-09";"M1";"EUR1";
"1981-10";"M1";"EUR1";
"1981-11";"M1";"EUR1";
"1981-12";"M1";"EUR1";
"1982-01";"M1";"EUR1";
"1982-02";"M1";"EUR1";
"1982-03";"M1";"EUR1";
"1982-04";"M1";"EUR1";
"1982-05";"M1";"EUR1";
"1982-06";"M1";"EUR1";
"1982-07";"M1";"EUR1";
"1982-08";"M1";"EUR1";
"1982-09";"M1";"EUR1";
"1982-10";"M1";"EUR1";
"1982-11";"M1";"EUR1";
"1982-12";"M1";"EUR1";
"1983-01";"M1";"EUR1";
"1983-02";"M1";"EUR1";
"1983-03";"M1";"EUR1";
"1983-04";"M1";"EUR1";
"1983-05";"M1";"EUR1";
"1983-06";"M1";"EUR1";
"1983-07";"M1";"EUR1";
"1983-08";"M1";"EUR1";
"1983-09";"M1";"EUR1";
"1983-10";"M1";"EUR1";
"1983-11";"M1";"EUR1";
"1983-12";"M1";"EUR1";
"1984-01";"M1";"EUR1";
"1984-02";"M1";"EUR1";
"1984-03";"M1";"EUR1";
"1984-04";"M1";"EUR1";
"1984-05";"M1";"EUR1";
"1984-06";"M1";"EUR1";
"1984-07";"M1";"EUR1";
"1984-08";"M1";"EUR1";
"1984-09";"M1";"EUR1";
"1984-10";"M1";"EUR1";
"1984-11";"M1";"EUR1";
"1984-12";"M1";"EUR1";
"1985-01";"M1";"EUR1";
"1985-02";"M1";"EUR1";
"1985-03";"M1";"EUR1";
"1985-04";"M1";"EUR1";
"1985-05";"M1";"EUR1";
"1985-06";"M1";"EUR1";
"1985-07";"M1";"EUR1";
"1985-08";"M1";"EUR1";
"1985-09";"M1";"EUR1";
"1985-10";"M1";"EUR1";
"1985-11";"M1";"EUR1";
"1985-12";"M1";"EUR1";
"1986-01";"M1";"EUR1";
"1986-02";"M1";"EUR1";
"1986-03";"M1";"EUR1";
"1986-04";"M1";"EUR1";
"1986-05";"M1";"EUR1";
"1986-06";"M1";"EUR1";
"1986-07";"M1";"EUR1";
"1986-08";"M1";"EUR1";
"1986-09";"M1";"EUR1";
"1986-10";"M1";"EUR1";
"1986-11";"M1";"EUR1";
"1986-12";"M1";"EUR1";
"1987-01";"M1";"EUR1";
"1987-02";"M1";"EUR1";
"1987-03";"M1";"EUR1";
"1987-04";"M1";"EUR1";
"1987-05";"M1";"EUR1";
"1987-06";"M1";"EUR1";
"1987-07";"M1";"EUR1";
"1987-08";"M1";"EUR1";
"1987-09";"M1";"EUR1";
"1987-10";"M1";"EUR1";
"1987-11";"M1";"EUR1";
"1987-12";"M1";"EUR1";
"1988-01";"M1";"EUR1";
"1988-02";"M1";"EUR1";
"1988-03";"M1";"EUR1";
"1988-04";"M1";"EUR1";
"1988-05";"M1";"EUR1";
"1988-06";"M1";"EUR1";
"1988-07";"M1";"EUR1";
"1988-08";"M1";"EUR1";
"1988-09";"M1";"EUR1";
"1988-10";"M1";"EUR1";
"1988-11";"M1";"EUR1";
"1988-12";"M1";"EUR1";
"1989-01";"M1";"EUR1";
"1989-02";"M1";"EUR1";
"1989-03";"M1";"EUR1";
"1989-04";"M1";"EUR1";
"1989-05";"M1";"EUR1";
"1989-06";"M1";"EUR1";
"1989-07";"M1";"EUR1";
"1989-08";"M1";"EUR1";
"1989-09";"M1";"EUR1";
"1989-10";"M1";"EUR1";
"1989-11";"M1";"EUR1";
"1989-12";"M1";"EUR1";
"1990-01";"M1";"EUR1";
"1990-02";"M1";"EUR1";
"1990-03";"M1";"EUR1";
"1990-04";"M1";"EUR1";
"1990-05";"M1";"EUR1";
"1990-06";"M1";"EUR1";
"1990-07";"M1";"EUR1";
"1990-08";"M1";"EUR1";
"1990-09";"M1";"EUR1";
"1990-10";"M1";"EUR1";
"1990-11";"M1";"EUR1";
"1990-12";"M1";"EUR1";
"1991-01";"M1";"EUR1";
"1991-02";"M1";"EUR1";
"1991-03";"M1";"EUR1";
"1991-04";"M1";"EUR1";
"1991-05";"M1";"EUR1";
"1991-06";"M1";"EUR1";
"1991-07";"M1";"EUR1";
"1991-08";"M1";"EUR1";
"1991-09";"M1";"EUR1";
"1991-10";"M1";"EUR1";
"1991-11";"M1";"EUR1";
"1991-12";"M1";"EUR1";
"1992-01";"M1";"EUR1";
"1992-02";"M1";"EUR1";
"1992-03";"M1";"EUR1";
"1992-04";"M1";"EUR1";
"1992-05";"M1";"EUR1";
"1992-06";"M1";"EUR1";
"1992-07";"M1";"EUR1";
"1992-08";"M1";"EUR1";
"1992-09";"M1";"EUR1";
"1992-10";"M1";"EUR1";
"1992-11";"M1";"EUR1";
"1992-12";"M1";"EUR1";
"1993-01";"M1";"EUR1";
"1993-02";"M1";"EUR1";
"1993-03";"M1";"EUR1";
"1993-04";"M1";"EUR1";
"1993-05";"M1";"EUR1";
"1993-06";"M1";"EUR1";
"1993-07";"M1";"EUR1";
"1993-08";"M1";"EUR1";
"1993-09";"M1";"EUR1";
"1993-10";"M1";"EUR1";
"1993-11";"M1";"EUR1";
"1993-12";"M1";"EUR1";
"1994-01";"M1";"EUR1";
"1994-02";"M1";"EUR1";
"1994-03";"M1";"EUR1";
"1994-04";"M1";"EUR1";
"1994-05";"M1";"EUR1";
"1994-06";"M1";"EUR1";
"1994-07";"M1";"EUR1";
"1994-08";"M1";"EUR1";
"1994-09";"M1";"EUR1";
"1994-10";"M1";"EUR1";
"1994-11";"M1";"EUR1";
"1994-12";"M1";"EUR1";
"1995-01";"M1";"EUR1";
"1995-02";"M1";"EUR1";
"1995-03";"M1";"EUR1";
"1995-04";"M1";"EUR1";
"1995-05";"M1";"EUR1";
"1995-06";"M1";"EUR1";
"1995-07";"M1";"EUR1";
"1995-08";"M1";"EUR1";
"1995-09";"M1";"EUR1";
"1995-10";"M1";"EUR1";
"1995-11";"M1";"EUR1";
"1995-12";"M1";"EUR1";
"1996-01";"M1";"EUR1";
"1996-02";"M1";"EUR1";
"1996-03";"M1";"EUR1";
"1996-04";"M1";"EUR1";
"1996-05";"M1";"EUR1";
"1996-06";"M1";"EUR1";
"1996-07";"M1";"EUR1";
"1996-08";"M1";"EUR1";
"1996-09";"M1";"EUR1";
"1996-10";"M1";"EUR1";
"1996-11";"M1";"EUR1";
"1996-12";"M1";"EUR1";
"1997-01";"M1";"EUR1";
"1997-02";"M1";"EUR1";
"1997-03";"M1";"EUR1";
"1997-04";"M1";"EUR1";
