structure,type,seas_adj,date,value
gdp,nom,csa,1980-01-01,50870.6180388267
gdp,nom,csa,1980-04-01,51589.1446214272
gdp,nom,csa,1980-07-01,52513.4658212934
gdp,nom,csa,1980-10-01,53339.752018117
gdp,nom,csa,1981-01-01,54375.8160553943
gdp,nom,csa,1981-04-01,55376.645297778
gdp,nom,csa,1981-07-01,56529.1029685959
gdp,nom,csa,1981-10-01,57563.9741829747
gdp,nom,csa,1982-01-01,58319.8380431689
gdp,nom,csa,1982-04-01,59218.7780361761
gdp,nom,csa,1982-07-01,59558.1248052249
gdp,nom,csa,1982-10-01,59956.4404308038
gdp,nom,csa,1983-01-01,60303.4010299229
gdp,nom,csa,1983-04-01,60610.5081312476
gdp,nom,csa,1983-07-01,61226.6985576034
gdp,nom,csa,1983-10-01,62087.6738677659
gdp,nom,csa,1984-01-01,63539.6137431693
gdp,nom,csa,1984-04-01,64678.7189121558
gdp,nom,csa,1984-07-01,65927.0155289791
gdp,nom,csa,1984-10-01,66740.8213998866
gdp,nom,csa,1985-01-01,67816.1539520798
gdp,nom,csa,1985-04-01,68888.1629755131
gdp,nom,csa,1985-07-01,69528.1790626989
gdp,nom,csa,1985-10-01,70725.01367363
gdp,nom,csa,1986-01-01,71575.3824641154
gdp,nom,csa,1986-04-01,72741.2102930831
gdp,nom,csa,1986-07-01,73039.8707009766
gdp,nom,csa,1986-10-01,73276.4592452819
gdp,nom,csa,1987-01-01,73874.4807513075
gdp,nom,csa,1987-04-01,74597.7125598747
gdp,nom,csa,1987-07-01,75955.312579899
gdp,nom,csa,1987-10-01,77205.0260983171
gdp,nom,csa,1988-01-01,77934.3823534096
gdp,nom,csa,1988-04-01,78945.9702214963
gdp,nom,csa,1988-07-01,80468.0544792745
gdp,nom,csa,1988-10-01,82522.6752471648
gdp,nom,csa,1989-01-01,83631.8804185147
gdp,nom,csa,1989-04-01,85814.3287276574
gdp,nom,csa,1989-07-01,87264.5734326831
gdp,nom,csa,1989-10-01,88956.9453139342
gdp,nom,csa,1990-01-01,91808.9888526874
gdp,nom,csa,1990-04-01,93393.7951827869
gdp,nom,csa,1990-07-01,94439.244138851
gdp,nom,csa,1990-10-01,95256.8810025335
gdp,nom,csa,1991-01-01,96921.6770866704
gdp,nom,csa,1991-04-01,97276.9136233238
gdp,nom,csa,1991-07-01,98305.663926606
gdp,nom,csa,1991-10-01,99078.6172656362
gdp,nom,csa,1992-01-01,99828.9546721532
gdp,nom,csa,1992-04-01,100088.850225306
gdp,nom,csa,1992-07-01,99659.8382514816
gdp,nom,csa,1992-10-01,99705.1879945806
gdp,nom,csa,1993-01-01,100044.124674662
gdp,nom,csa,1993-04-01,101741.354691949
gdp,nom,csa,1993-07-01,102766.047480481
gdp,nom,csa,1993-10-01,103728.891903041
gdp,nom,csa,1994-01-01,104661.368334863
gdp,nom,csa,1994-04-01,103969.547682936
gdp,nom,csa,1994-07-01,104722.246506988
gdp,nom,csa,1994-10-01,105039.655387124
gdp,nom,csa,1995-01-01,104934.07864738
gdp,nom,csa,1995-04-01,105774.793669286
gdp,nom,csa,1995-07-01,106571.723836437
gdp,nom,csa,1995-10-01,106343.916268673
gdp,nom,csa,1996-01-01,107103.455426527
gdp,nom,csa,1996-04-01,107101.815545664
gdp,nom,csa,1996-07-01,106316.103217065
gdp,nom,csa,1996-10-01,106515.717409449
gdp,nom,csa,1997-01-01,106875.201091779
gdp,nom,csa,1997-04-01,107896.252186361
gdp,nom,csa,1997-07-01,109343.635131931
gdp,nom,csa,1997-10-01,109646.484020167
gdp,nom,csa,1998-01-01,110630.251179788
gdp,nom,csa,1998-04-01,112012.652088418
gdp,nom,csa,1998-07-01,111548.632455716
gdp,nom,csa,1998-10-01,110585.714450043
gdp,nom,csa,1999-01-01,111263.778660172
gdp,nom,csa,1999-04-01,112217.612460455
gdp,nom,csa,1999-07-01,113446.437335874
gdp,nom,csa,1999-10-01,116277.964930043
gdp,nom,csa,2000-01-01,117349.367292298
gdp,nom,csa,2000-04-01,118233.422771357
gdp,nom,csa,2000-07-01,119661.206564861
gdp,nom,csa,2000-10-01,121651.769303159
gdp,nom,csa,2001-01-01,122136.483973674
gdp,nom,csa,2001-04-01,122752.344739593
gdp,nom,csa,2001-07-01,122633.491084019
gdp,nom,csa,2001-10-01,122451.947716196
gdp,nom,csa,2002-01-01,122019.796869396
gdp,nom,csa,2002-04-01,122575.312011504
gdp,nom,csa,2002-07-01,122784.45783068
gdp,nom,csa,2002-10-01,122216.000755025
gdp,nom,csa,2003-01-01,122035.928593984
gdp,nom,csa,2003-04-01,122556.381624728
gdp,nom,csa,2003-07-01,123840.907603647
gdp,nom,csa,2003-10-01,125230.547668471
gdp,nom,csa,2004-01-01,126100.075165846
gdp,nom,csa,2004-04-01,127008.764660634
gdp,nom,csa,2004-07-01,127159.13502271
gdp,nom,csa,2004-10-01,127969.968714155
gdp,nom,csa,2005-01-01,129283.944800865
gdp,nom,csa,2005-04-01,131075.716570607
gdp,nom,csa,2005-07-01,133044.769748447
gdp,nom,csa,2005-10-01,135075.983025887
gdp,nom,csa,2006-01-01,137649.347179031
gdp,nom,csa,2006-04-01,139567.573535224
gdp,nom,csa,2006-07-01,141088.737561208
gdp,nom,csa,2006-10-01,144036.451100132
gdp,nom,csa,2007-01-01,146358.638624734
gdp,nom,csa,2007-04-01,149179.195621451
gdp,nom,csa,2007-07-01,151060.776376391
gdp,nom,csa,2007-10-01,152814.973224681
gdp,nom,csa,2008-01-01,154354.639175361
gdp,nom,csa,2008-04-01,156571.918539273
gdp,nom,csa,2008-07-01,157221.642603003
