"CubeId";"rendoblim"
"PublishingDate";"2025-09-01 14:29"

"Date";"D0";"Value"
"1988-01";"5J";"3.695"
"1988-01";"10J";"4.092"
"1988-02";"5J";"3.672"
"1988-02";"10J";"4.098"
"1988-03";"5J";"3.823"
"1988-03";"10J";"3.998"
"1988-04";"5J";"3.684"
"1988-04";"10J";"3.965"
"1988-05";"5J";"3.974"
"1988-05";"10J";"4.127"
"1988-06";"5J";"3.897"
"1988-06";"10J";"4.155"
"1988-07";"5J";"4.215"
"1988-07";"10J";"4.222"
"1988-08";"5J";"4.037"
"1988-08";"10J";"4.292"
"1988-09";"5J";"4.041"
"1988-09";"10J";"4.257"
"1988-10";"5J";"3.986"
"1988-10";"10J";"4.014"
"1988-11";"5J";"4.003"
"1988-11";"10J";"4.042"
"1988-12";"5J";"4.074"
"1988-12";"10J";"4.107"
"1989-01";"5J";"4.653"
"1989-01";"10J";"4.517"
"1989-02";"5J";"4.926"
"1989-02";"10J";"4.719"
"1989-03";"5J";"4.954"
"1989-03";"10J";"4.798"
"1989-04";"5J";"5.132"
"1989-04";"10J";"5.054"
"1989-05";"5J";"5.483"
"1989-05";"10J";"5.242"
"1989-06";"5J";"5.066"
"1989-06";"10J";"5.105"
"1989-07";"5J";"5.123"
"1989-07";"10J";"5.173"
"1989-08";"5J";"5.19"
"1989-08";"10J";"5.195"
"1989-09";"5J";"5.451"
"1989-09";"10J";"5.311"
"1989-10";"5J";"5.581"
"1989-10";"10J";"5.31"
"1989-11";"5J";"5.582"
"1989-11";"10J";"5.437"
"1989-12";"5J";"5.764"
"1989-12";"10J";"5.618"
"1990-01";"5J";"6.269"
"1990-01";"10J";"6.04"
"1990-02";"5J";"6.714"
"1990-02";"10J";"6.292"
"1990-03";"5J";"6.717"
"1990-03";"10J";"6.475"
"1990-04";"5J";"6.745"
"1990-04";"10J";"6.629"
"1990-05";"5J";"6.355"
"1990-05";"10J";"6.3"
"1990-06";"5J";"6.246"
"1990-06";"10J";"6.147"
"1990-07";"5J";"6.08"
"1990-07";"10J";"6.078"
"1990-08";"5J";"6.566"
"1990-08";"10J";"6.484"
"1990-09";"5J";"6.555"
"1990-09";"10J";"6.509"
"1990-10";"5J";"6.553"
"1990-10";"10J";"6.491"
"1990-11";"5J";"6.677"
"1990-11";"10J";"6.563"
"1990-12";"5J";"6.643"
"1990-12";"10J";"6.601"
"1991-01";"5J";"6.402"
"1991-01";"10J";"6.415"
"1991-02";"5J";"6.271"
"1991-02";"10J";"6.221"
"1991-03";"5J";"6.185"
"1991-03";"10J";"6.155"
"1991-04";"5J";"6.146"
"1991-04";"10J";"6.016"
"1991-05";"5J";"5.844"
"1991-05";"10J";"5.813"
"1991-06";"5J";"5.964"
"1991-06";"10J";"5.971"
"1991-07";"5J";"6.123"
"1991-07";"10J";"5.996"
"1991-08";"5J";"6.248"
"1991-08";"10J";"6.107"
"1991-09";"5J";"6.301"
"1991-09";"10J";"6.198"
"1991-10";"5J";"6.88"
"1991-10";"10J";"6.698"
"1991-11";"5J";"6.653"
"1991-11";"10J";"6.637"
"1991-12";"5J";"6.35"
"1991-12";"10J";"6.37"
"1992-01";"5J";"6.143"
"1992-01";"10J";"6.175"
"1992-02";"5J";"6.222"
"1992-02";"10J";"6.132"
"1992-03";"5J";"6.546"
"1992-03";"10J";"6.676"
"1992-04";"5J";"6.639"
"1992-04";"10J";"6.545"
"1992-05";"5J";"6.828"
"1992-05";"10J";"6.861"
"1992-06";"5J";"7.048"
"1992-06";"10J";"6.924"
"1992-07";"5J";"7.048"
"1992-07";"10J";"6.867"
"1992-08";"5J";"6.913"
"1992-08";"10J";"6.854"
"1992-09";"5J";"6.393"
"1992-09";"10J";"6.292"
"1992-10";"5J";"5.865"
"1992-10";"10J";"6.092"
"1992-11";"5J";"5.913"
"1992-11";"10J";"6.063"
"1992-12";"5J";"5.466"
"1992-12";"10J";"5.68"
"1993-01";"5J";"5.263"
"1993-01";"10J";"5.539"
"1993-02";"5J";"4.899"
"1993-02";"10J";"4.907"
"1993-03";"5J";"4.566"
"1993-03";"10J";"4.688"
"1993-04";"5J";"4.582"
"1993-04";"10J";"4.845"
"1993-05";"5J";"4.474"
"1993-05";"10J";"4.846"
"1993-06";"5J";"4.432"
"1993-06";"10J";"4.566"
"1993-07";"5J";"4.434"
"1993-07";"10J";"4.546"
"1993-08";"5J";"4.392"
"1993-08";"10J";"4.479"
"1993-09";"5J";"4.264"
"1993-09";"10J";"4.455"
"1993-10";"5J";"4.056"
"1993-10";"10J";"4.208"
"1993-11";"5J";"4.015"
"1993-11";"10J";"4.247"
"1993-12";"5J";"3.781"
"1993-12";"10J";"4.136"
"1994-01";"5J";"3.854"
"1994-01";"10J";"4.206"
"1994-02";"5J";"4.109"
"1994-02";"10J";"4.465"
"1994-03";"5J";"4.258"
"1994-03";"10J";"4.634"
"1994-04";"5J";"4.621"
"1994-04";"10J";"5.062"
"1994-05";"5J";"4.523"
"1994-05";"10J";"5.046"
"1994-06";"5J";"4.897"
"1994-06";"10J";"5.334"
"1994-07";"5J";"4.846"
"1994-07";"10J";"5.273"
"1994-08";"5J";"5.16"
"1994-08";"10J";"5.492"
"1994-09";"5J";"5.306"
"1994-09";"10J";"5.636"
"1994-10";"5J";"5.302"
"1994-10";"10J";"5.594"
"1994-11";"5J";"5.148"
"1994-11";"10J";"5.368"
"1994-12";"5J";"5.051"
"1994-12";"10J";"5.304"
"1995-01";"5J";"5.04"
"1995-01";"10J";"5.322"
"1995-02";"5J";"5.036"
"1995-02";"10J";"5.325"
"1995-03";"5J";"4.808"
"1995-03";"10J";"5.179"
"1995-04";"5J";"4.574"
"1995-04";"10J";"5.033"
"1995-05";"5J";"4.426"
"1995-05";"10J";"4.873"
"1995-06";"5J";"4.39"
"1995-06";"10J";"4.936"
"1995-07";"5J";"4.284"
"1995-07";"10J";"4.859"
"1995-08";"5J";"4.164"
"1995-08";"10J";"4.73"
"1995-09";"5J";"3.761"
"1995-09";"10J";"4.555"
"1995-10";"5J";"3.623"
"1995-10";"10J";"4.38"
"1995-11";"5J";"3.331"
"1995-11";"10J";"4.057"
