date,ch.kof.consensus.q_qn_10yyield_12m.mean,ch.kof.consensus.q_qn_10yyield_3m.mean,ch.kof.consensus.q_qn_3minterest_12m.mean,ch.kof.consensus.q_qn_3minterest_3m.mean,ch.kof.consensus.q_qn_eurchf_12m.mean,ch.kof.consensus.q_qn_eurchf_3m.mean,ch.kof.consensus.q_qn_exports_cy.mean,ch.kof.consensus.q_qn_exports_ny.mean,ch.kof.consensus.q_qn_investbau_cy.mean,ch.kof.consensus.q_qn_investbau_ny.mean,ch.kof.consensus.q_qn_invest_cy.mean,ch.kof.consensus.q_qn_investequ_cy.mean,ch.kof.consensus.q_qn_investequ_ny.mean,ch.kof.consensus.q_qn_invest_ny.mean,ch.kof.consensus.q_qn_prices_5y.mean,ch.kof.consensus.q_qn_prices_cy.mean,ch.kof.consensus.q_qn_prices_ny.mean,ch.kof.consensus.q_qn_realgdp_5y.mean,ch.kof.consensus.q_qn_realgdp_cy.mean,ch.kof.consensus.q_qn_realgdp_ny.mean,ch.kof.consensus.q_qn_realgdpspea_5y.mean,ch.kof.consensus.q_qn_realgdpspea_cy.mean,ch.kof.consensus.q_qn_realgdpspea_ny.mean,ch.kof.consensus.q_qn_spi_12m.mean,ch.kof.consensus.q_qn_spi_3m.mean,ch.kof.consensus.q_qn_unemp_5y.mean,ch.kof.consensus.q_qn_unemp_cy.mean,ch.kof.consensus.q_qn_unemp_ny.mean,ch.kof.consensus.q_qn_usdchf_12m.mean,ch.kof.consensus.q_qn_usdchf_3m.mean
Jan 2001,3.64473684210526,3.41578947368421,3.275,3.24605263157895,1.54444444444444,1.54416666666667,4.85555555555556,4.85,NA,NA,4.38333333333333,NA,NA,4.3,NA,1.38421052631579,1.48947368421053,NA,2.14210526315789,2.17368421052632,NA,NA,NA,5365.94117647059,5086.29411764706,NA,1.85,1.83333333333333,1.58342105263158,1.62447368421053
Apr 2001,3.725,3.51,3.1725,3.1225,1.54786315789474,1.53406842105263,4.77142857142857,4.95238095238095,NA,NA,4.04761904761905,NA,NA,4.23333333333333,NA,1.47727272727273,1.55454545454545,NA,2.03636363636364,2.18636363636364,NA,NA,NA,5676.47058823529,5329.41176470588,NA,1.75909090909091,1.75909090909091,1.65684210526316,1.73610526315789
Jul 2001,3.415625,3.2125,2.753125,2.528125,1.5025,1.4875,2.29375,3.325,NA,NA,2.44705882352941,NA,NA,2.3,NA,1.24444444444444,1.36111111111111,NA,1.72222222222222,1.63333333333333,NA,NA,NA,4550,4125.38461538462,NA,1.8,2.02777777777778,1.591875,1.593125
Okt 2001,3.465,3.15714285714286,2.1775,1.8,1.5075,1.48571428571429,1.145,3.70952380952381,NA,NA,1.08095238095238,NA,NA,3.00952380952381,NA,0.985714285714286,1.43333333333333,NA,1.10952380952381,1.9952380952381,NA,NA,NA,4655.23529411765,4208.45,NA,2.17380952380952,2.03333333333333,1.6095,1.62809523809524
Jan 2002,3.76521739130435,3.51304347826087,2.28478260869565,1.75,1.49065217391304,1.47891304347826,1.89384553566667,4.9875,NA,NA,1.74975681431818,NA,NA,3.36521739130435,NA,0.884,1.35,NA,1.188,2.176,NA,NA,NA,4830.63636363636,4561,NA,2.328,2.12083333333333,1.62782608695652,1.67086956521739
Apr 2002,3.75,3.4125,2.266,1.4504,1.4896,1.47333333333333,0.577442574521739,4.82083333333333,NA,NA,-1.54739420379167,NA,NA,3.80416666666667,NA,0.833333333333333,1.356,NA,1.068,2.052,NA,NA,NA,4680.04347826087,4486.47058823529,NA,2.35930435684,2.172,1.552,1.56166666666667
Jul 2002,3.27894736842105,2.95263157894737,1.4,0.792105263157895,1.46588235294118,1.46777777777778,0.125012808333333,4.07777777777778,NA,NA,-4.525,NA,NA,2.44444444444444,NA,0.58,0.905,NA,0.2784633599,1.47,NA,NA,NA,4072.3125,3723.3125,NA,2.665,2.84210526315789,1.48055555555556,1.48666666666667
Okt 2002,3.20882352941176,2.66777777777778,1.28235294117647,0.755555555555556,1.48058823529412,1.46735294117647,3.43707116990476,4.87222222222222,NA,NA,1.80950265414286,NA,NA,4.15,NA,0.837107587285714,1.42105263157895,NA,1.06102723257143,1.92631578947368,NA,NA,NA,3883.69230769231,3548.53846153846,NA,3.20480738095238,2.88333333333333,1.45941176470588,1.45588235294118
Jan 2003,2.77142857142857,2.35,0.833333333333333,0.385714285714286,1.485,1.47475,2.64724298490909,4.36848097886364,NA,NA,-0.140909090909091,NA,NA,3.31818181818182,NA,0.756521739130435,1.23478260869565,NA,0.663636363636364,1.56521739130435,NA,NA,NA,3571.17647058824,3321.29411764706,NA,3.72608695652174,3.35652173913043,1.411,1.39
Apr 2003,2.8,2.40434782608696,0.730434782608696,0.349130434782609,1.51428571428571,1.535,0.408695652173913,3.63636363636364,NA,NA,-2.01739130434783,NA,NA,1.81904761904762,NA,0.604166666666667,0.777083333333333,NA,-0.0166666666666667,1.20833333333333,NA,NA,NA,3827.52631578947,3593.21052631579,NA,3.95,3.78260869565217,1.31619047619048,1.31023112481818
