"CubeId";"zimoma"
"PublishingDate";"2026-06-01 14:30"

"Date";"D0";"Value"
"1972-01";"SARON";
"1972-01";"3M0";
"1972-02";"SARON";
"1972-02";"3M0";
"1972-03";"SARON";
"1972-03";"3M0";
"1972-04";"SARON";
"1972-04";"3M0";
"1972-05";"SARON";
"1972-05";"3M0";
"1972-06";"SARON";
"1972-06";"3M0";
"1972-07";"SARON";
"1972-07";"3M0";
"1972-08";"SARON";
"1972-08";"3M0";
"1972-09";"SARON";
"1972-09";"3M0";
"1972-10";"SARON";
"1972-10";"3M0";
"1972-11";"SARON";
"1972-11";"3M0";
"1972-12";"SARON";
"1972-12";"3M0";
"1973-01";"SARON";
"1973-01";"3M0";
"1973-02";"SARON";
"1973-02";"3M0";
"1973-03";"SARON";
"1973-03";"3M0";
"1973-04";"SARON";
"1973-04";"3M0";
"1973-05";"SARON";
"1973-05";"3M0";
"1973-06";"SARON";
"1973-06";"3M0";
"1973-07";"SARON";
"1973-07";"3M0";
"1973-08";"SARON";
"1973-08";"3M0";
"1973-09";"SARON";
"1973-09";"3M0";
"1973-10";"SARON";
"1973-10";"3M0";
"1973-11";"SARON";
"1973-11";"3M0";
"1973-12";"SARON";
"1973-12";"3M0";
"1974-01";"SARON";
"1974-01";"3M0";
"1974-02";"SARON";
"1974-02";"3M0";
"1974-03";"SARON";
"1974-03";"3M0";
"1974-04";"SARON";
"1974-04";"3M0";
"1974-05";"SARON";
"1974-05";"3M0";
"1974-06";"SARON";
"1974-06";"3M0";
"1974-07";"SARON";
"1974-07";"3M0";
"1974-08";"SARON";
"1974-08";"3M0";
"1974-09";"SARON";
"1974-09";"3M0";
"1974-10";"SARON";
"1974-10";"3M0";
"1974-11";"SARON";
"1974-11";"3M0";
"1974-12";"SARON";
"1974-12";"3M0";
"1975-01";"SARON";
"1975-01";"3M0";
"1975-02";"SARON";
"1975-02";"3M0";
"1975-03";"SARON";
"1975-03";"3M0";
"1975-04";"SARON";
"1975-04";"3M0";
"1975-05";"SARON";
"1975-05";"3M0";
"1975-06";"SARON";
"1975-06";"3M0";
"1975-07";"SARON";
"1975-07";"3M0";
"1975-08";"SARON";
"1975-08";"3M0";
"1975-09";"SARON";
"1975-09";"3M0";
"1975-10";"SARON";
"1975-10";"3M0";
"1975-11";"SARON";
"1975-11";"3M0";
"1975-12";"SARON";
"1975-12";"3M0";
"1976-01";"SARON";
"1976-01";"3M0";
"1976-02";"SARON";
"1976-02";"3M0";
"1976-03";"SARON";
"1976-03";"3M0";
"1976-04";"SARON";
"1976-04";"3M0";
"1976-05";"SARON";
"1976-05";"3M0";
"1976-06";"SARON";
"1976-06";"3M0";
"1976-07";"SARON";
"1976-07";"3M0";
"1976-08";"SARON";
"1976-08";"3M0";
"1976-09";"SARON";
"1976-09";"3M0";
"1976-10";"SARON";
"1976-10";"3M0";
"1976-11";"SARON";
"1976-11";"3M0";
"1976-12";"SARON";
"1976-12";"3M0";
"1977-01";"SARON";
"1977-01";"3M0";
"1977-02";"SARON";
"1977-02";"3M0";
"1977-03";"SARON";
"1977-03";"3M0";
"1977-04";"SARON";
"1977-04";"3M0";
"1977-05";"SARON";
"1977-05";"3M0";
"1977-06";"SARON";
"1977-06";"3M0";
"1977-07";"SARON";
"1977-07";"3M0";
"1977-08";"SARON";
"1977-08";"3M0";
"1977-09";"SARON";
"1977-09";"3M0";
"1977-10";"SARON";
"1977-10";"3M0";
"1977-11";"SARON";
"1977-11";"3M0";
"1977-12";"SARON";
"1977-12";"3M0";
"1978-01";"SARON";
"1978-01";"3M0";
"1978-02";"SARON";
"1978-02";"3M0";
"1978-03";"SARON";
"1978-03";"3M0";
"1978-04";"SARON";
"1978-04";"3M0";
"1978-05";"SARON";
"1978-05";"3M0";
"1978-06";"SARON";
"1978-06";"3M0";
"1978-07";"SARON";
"1978-07";"3M0";
"1978-08";"SARON";
"1978-08";"3M0";
"1978-09";"SARON";
"1978-09";"3M0";
"1978-10";"SARON";
"1978-10";"3M0";
"1978-11";"SARON";
"1978-11";"3M0";
"1978-12";"SARON";
"1978-12";"3M0";
"1979-01";"SARON";
"1979-01";"3M0";
"1979-02";"SARON";
"1979-02";"3M0";
"1979-03";"SARON";
"1979-03";"3M0";
"1979-04";"SARON";
"1979-04";"3M0";
"1979-05";"SARON";
"1979-05";"3M0";
"1979-06";"SARON";
"1979-06";"3M0";
"1979-07";"SARON";
"1979-07";"3M0";
"1979-08";"SARON";
"1979-08";"3M0";
"1979-09";"SARON";
"1979-09";"3M0";
"1979-10";"SARON";
"1979-10";"3M0";
"1979-11";"SARON";
"1979-11";"3M0";
"1979-12";"SARON";
"1979-12";"3M0";
"1980-01";"SARON";
"1980-01";"3M0";
"1980-02";"SARON";
"1980-02";"3M0";
"1980-03";"SARON";
"1980-03";"3M0";
"1980-04";"SARON";
"1980-04";"3M0";
"1980-05";"SARON";
"1980-05";"3M0";
"1980-06";"SARON";
"1980-06";"3M0";
"1980-07";"SARON";
"1980-07";"3M0";
"1980-08";"SARON";
"1980-08";"3M0";
"1980-09";"SARON";
"1980-09";"3M0";
"1980-10";"SARON";
"1980-10";"3M0";
"1980-11";"SARON";
"1980-11";"3M0";
"1980-12";"SARON";
"1980-12";"3M0";
"1981-01";"SARON";
"1981-01";"3M0";
"1981-02";"SARON";
"1981-02";"3M0";
"1981-03";"SARON";
"1981-03";"3M0";
"1981-04";"SARON";
"1981-04";"3M0";
"1981-05";"SARON";
"1981-05";"3M0";
"1981-06";"SARON";
"1981-06";"3M0";
"1981-07";"SARON";
"1981-07";"3M0";
"1981-08";"SARON";
