"REGION","CANTON","PERIOD","VALUE","STATUS","OBS_COEF"
"Total","Total","2026-04","3.02939665871171","A","A"
"1","Total","2026-04","4.59362070017528","A","A"
"1","22","2026-04","4.79868568045452","A","A"
"1","23","2026-04","3.38216759521264","A","A"
"1","25","2026-04","5.12254691656024","A","A"
"2","Total","2026-04","2.72687115446896","A","A"
"2","2","2026-04","2.20721264021228","B","A"
"2","10","2026-04","2.71439226435751","A","A"
"2","11","2026-04","3.14537518373966","A","A"
"2","24","2026-04","4.46707556484254","A","B"
"2","26","2026-04","4.63564396630468","B","B"
"3","Total","2026-04","3.43639935483922","A","A"
"3","12","2026-04","4.55392113926317","A","A"
"3","13","2026-04","3.068888632016","A","A"
"3","19","2026-04","3.28187402331657","A","A"
"4","Total","2026-04","2.8929814155219","A","A"
"4","1","2026-04","2.8929814155219","A","A"
"5","Total","2026-04","2.1022151830739","A","A"
"5","8","2026-04","1.95250575373337","A","B"
"5","14","2026-04","3.11704095504157","A","B"
"5","15","2026-04","1.68344285232342","A","B"
"5","16","2026-04","0.733538004819776","A","C"
"5","17","2026-04","2.11707791249671","A","A"
"5","18","2026-04","1.62449983709241","A","A"
"5","20","2026-04","2.29874367019566","A","A"
"6","Total","2026-04","1.88031448217019","A","A"
"6","3","2026-04","2.1021656725394","A","A"
"6","4","2026-04","1.01380661969872","A","C"
"6","5","2026-04","1.13890318220787","A","B"
"6","6","2026-04","1.08156810446255","A","B"
"6","7","2026-04","1.2437394075197","A","B"
"6","9","2026-04","2.78448882734186","A","B"
"7","Total","2026-04","2.84037438393223","A","A"
"7","21","2026-04","2.84037438393223","A","A"
"Total","Total","2026-03","3.10047730836434","A","A"
"1","Total","2026-03","4.63682343646286","A","A"
"1","22","2026-03","4.85712356930023","A","A"
"1","23","2026-03","3.40241026765244","A","A"
"1","25","2026-03","5.15656800195866","A","A"
"2","Total","2026-03","2.82568215448051","A","A"
"2","2","2026-03","2.2749686052204","B","A"
"2","10","2026-03","2.8447007619955","A","A"
"2","11","2026-03","3.27659986147762","A","A"
"2","24","2026-03","4.57314513056722","A","B"
"2","26","2026-03","4.89444839135289","B","B"
"3","Total","2026-03","3.51396588481003","A","A"
"3","12","2026-03","4.6886009346584","A","A"
"3","13","2026-03","3.09561529112348","A","A"
"3","19","2026-03","3.36383123320117","A","A"
"4","Total","2026-03","2.96391363987118","A","A"
"4","1","2026-03","2.96391363987118","A","A"
"5","Total","2026-03","2.13317027888356","A","A"
"5","8","2026-03","1.99356311771374","A","B"
"5","14","2026-03","3.31031097820925","A","B"
"5","15","2026-03","1.70696400994071","A","B"
"5","16","2026-03","0.668814063218031","A","C"
"5","17","2026-03","2.2025739420646","A","A"
"5","18","2026-03","1.32522578259708","A","A"
"5","20","2026-03","2.41893530474463","A","A"
"6","Total","2026-03","1.94051528643585","A","A"
"6","3","2026-03","2.16529377081386","A","A"
"6","4","2026-03","1.09022420409812","A","C"
"6","5","2026-03","1.17564199453715","A","B"
"6","6","2026-03","1.15210515475359","A","B"
"6","7","2026-03","1.33661605158773","A","B"
"6","9","2026-03","2.84645816326193","A","B"
"7","Total","2026-03","3.05063898511164","A","A"
"7","21","2026-03","3.05063898511164","A","A"
"Total","Total","2026-02","3.20267826630509","A","A"
"1","Total","2026-02","4.80419060519088","A","A"
"1","22","2026-02","4.98475191853927","A","A"
"1","23","2026-02","3.75419508870093","A","A"
"1","25","2026-02","5.25784007012141","A","A"
"2","Total","2026-02","2.93992016832786","A","A"
"2","2","2026-02","2.34059611059476","B","A"
"2","10","2026-02","2.93414981545887","A","A"
"2","11","2026-02","3.45803806386022","A","A"
"2","24","2026-02","4.76981578368173","A","B"
"2","26","2026-02","5.37399776717751","B","B"
"3","Total","2026-02","3.59401951794624","A","A"
"3","12","2026-02","4.72348203274638","A","A"
"3","13","2026-02","3.16443643832523","A","A"
"3","19","2026-02","3.46013095481558","A","A"
"4","Total","2026-02","2.99528966328002","A","A"
"4","1","2026-02","2.99528966328002","A","A"
"5","Total","2026-02","2.25319714547887","A","A"
"5","8","2026-02","2.13498292697948","A","B"
"5","14","2026-02","3.34177354012027","A","B"
"5","15","2026-02","1.7506461598014","A","B"
"5","16","2026-02","0.77668729922094","A","C"
"5","17","2026-02","2.31750303099193","A","A"
"5","18","2026-02","1.48447252719092","A","A"
"5","20","2026-02","2.55800520650024","A","A"
"6","Total","2026-02","2.00776086566878","A","A"
"6","3","2026-02","2.2414683427317","A","A"
"6","4","2026-02","1.09531870972475","A","C"
"6","5","2026-02","1.24587795928432","A","B"
"6","6","2026-02","1.16151009479239","A","B"
"6","7","2026-02","1.36892097126356","A","B"
"6","9","2026-02","2.92632975178114","A","B"
"7","Total","2026-02","3.23386956613942","A","A"
"7","21","2026-02","3.23386956613942","A","A"
"Total","Total","2026-01","3.22820200689017","A","A"
"1","Total","2026-01","4.83326268778654","A","A"
"1","22","2026-01","4.92257400480743","A","A"
"1","23","2026-01","4.06713586263519","A","A"
"1","25","2026-01","5.23608239922707","A","A"
"2","Total","2026-01","2.96276777109733","A","A"
"2","2","2026-01","2.3585106458456","B","A"
"2","10","2026-01","2.92973257825081","A","A"
"2","11","2026-01","3.49017471963279","A","A"
"2","24","2026-01","4.82947991440186","A","B"
"2","26","2026-01","5.47295240028418","B","B"
"3","Total","2026-01","3.61282823563456","A","A"
"3","12","2026-01","4.75061177570369","A","A"
"3","13","2026-01","3.14906860933843","A","A"
"3","19","2026-01","3.48984044339875","A","A"
"4","Total","2026-01","3.01187413279613","A","A"
"4","1","2026-01","3.01187413279613","A","A"
"5","Total","2026-01","2.28733879526894","A","A"
"5","8","2026-01","2.08936363366795","A","B"
"5","14","2026-01","3.36649412447893","A","B"
"5","15","2026-01","1.78088764816649","A","B"
"5","16","2026-01","0.873773211623557","A","C"
"5","17","2026-01","2.32766444434221","A","A"
"5","18","2026-01","1.58240012300438","A","A"
"5","20","2026-01","2.60205449664908","A","A"
"6","Total","2026-01","2.02547954210158","A","A"
"6","3","2026-01","2.26040677221404","A","A"
"6","4","2026-01","1.15645277724427","A","C"
"6","5","2026-01","1.30098617777825","A","B"
"6","6","2026-01","1.1709150348312","A","B"
"6","7","2026-01","1.34065416654721","A","B"
"6","9","2026-01","2.89878782470555","A","B"
"7","Total","2026-01","3.31917691861793","A","A"
"7","21","2026-01","3.31917691861793","A","A"
"Total","Total","2025-12","3.1","A","A"
"1","Total","2025-12","4.7","A","A"
"1","22","2025-12","4.8","A","A"
"1","23","2025-12","3.9","A","A"
"1","25","2025-12","5","A","A"
"2","Total","2025-12","2.9","A","A"
"2","2","2025-12","2.3","R","A"
"2","10","2025-12","2.9","A","A"
"2","11","2025-12","3.3","A","A"
"2","24","2025-12","4.8","A","B"
"2","26","2025-12","5.4","R","B"
"3","Total","2025-12","3.5","A","A"
"3","12","2025-12","4.6","A","A"
"3","13","2025-12","3","A","A"
"3","19","2025-12","3.4","A","A"
"4","Total","2025-12","2.9","A","A"
"4","1","2025-12","2.9","A","A"
"5","Total","2025-12","2.2","A","A"
"5","8","2025-12","2","A","B"
"5","14","2025-12","3.2","A","B"
"5","15","2025-12","1.8","A","B"
"5","16","2025-12","0.9","A","C"
"5","17","2025-12","2.3","A","A"
"5","18","2025-12","1.6","A","A"
