2022 Q1,2022 Q2,2022 Q3,2022 Q4,2023 Q1,2023 Q2,2023 Q3,2023 Q4,2024 Q1,2024 Q2,2024 Q3,2024 Q4,2025 Q1,2025 Q2,2025 Q3,2025 Q4
0.020414519632967476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.01888548324195475,0.029160473448937907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.018945605929647096,0.02793493936511024,0.033234855029197874,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.019606131284635127,0.026853766926602612,0.030767928712626444,0.028900496043772428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.020813661487553786,0.025882158046858124,0.029488038235664107,0.034421502714871655,0.03149168922194523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.021301125662742695,0.024115830732697907,0.027762977563425103,0.033077251286666456,0.02575116397794822,0.021206203062686058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.021811533766013916,0.022176280978246064,0.026377823588459123,0.027664421743052347,0.015083245277280947,0.012387438490802575,0.015918883056626143,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.022078454029469795,0.019910683736845416,0.024969620818622994,0.01960056229489144,0.004524275985908251,0.0031767406318950094,0.004490808444765647,0.01604305620423574,NA,NA,NA,NA,NA,NA,NA,NA
0.021573601577878642,0.016989472188224383,0.02285967083585709,0.010182438412874098,-0.004022172053771289,-0.004188725849148237,0.00411736991306656,0.013205085479773865,0.011569375752539912,NA,NA,NA,NA,NA,NA,NA
NA,0.014129794646157913,0.021086677174970644,0.0015049608113395663,-0.009064148822536816,-0.008291177004995555,0.006853345321882497,0.014176782669803129,0.008906924765043723,0.013528197578204448,NA,NA,NA,NA,NA,NA
NA,NA,0.018923506378120288,-0.005792977464159281,-0.009715082851884667,-0.008334286193719032,0.01014673003667414,0.015971369215343426,0.006448221312767192,0.006241242648235682,0.010589353714857808,NA,NA,NA,NA,NA
NA,NA,NA,-0.010731051064816359,-0.005790270514498047,-0.004225099936125127,0.012585094979877476,0.01688475398440898,0.004860440484722815,0.004648062665310128,0.004080920106879388,0.006578420876546254,NA,NA,NA,NA
NA,NA,NA,NA,0.0022131929266475496,0.003472440924588068,0.013990070584563983,0.01659682308132816,0.004008270961774823,0.004472514166918768,0.0047131410114419755,0.0081810838309402,0.0035550522526337502,NA,NA,NA
NA,NA,NA,NA,NA,0.013691000286239395,0.014521363615914907,0.015248177709551112,0.003699466123078807,0.004725986087832537,0.007043524219161561,0.009974197586086399,0.007301759039731618,4.1796042587805005e-5,NA,NA
NA,NA,NA,NA,NA,NA,0.01457277079861155,0.013279422630868187,0.0037792393728092845,0.005435773700500172,0.00964202578295409,0.011474042042833102,0.009223431990652921,0.006900214019412438,0.0019799516346186152,NA
NA,NA,NA,NA,NA,NA,NA,0.011092372728080089,0.004133270633969624,0.0062653534472894975,0.01195476555515828,0.01263328860598752,0.010532780522912009,0.006087070469873615,0.006052828892543499,6.008546210134469e-4
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
