quarter,beta1,beta2,beta3,phi,xi_trend,xi_cycle,sigma_spf_5y_unemp,natural_rate,state_2_trend
2000 Q1,-0.1579200143380305,-0.07206408978955896,-0.11286021330073488,0.8461886583696421,0.21687444574430334,6.066507519763169e-4,0.9085780082006912,1.32976526810776,0.6387113009836428
2000 Q2,-0.17470429842577978,-0.06626276475080492,-0.11529796107887923,0.8532358678152522,0.2004130682548672,0.0021502453343102117,0.32352433953095727,1.8441430840157187,0.02933217121673136
2000 Q3,-0.16882800156734748,-0.0721003502370392,-0.10451244674940846,0.8529991034120314,0.19990500116998622,0.001908909142269482,0.3333301672254756,1.9382472904292947,-0.12295800267370216
2000 Q4,-0.1560395758581128,-0.07116132759946539,-0.10177994122066827,0.8496930784016504,0.21126400627085726,4.5780549609997993e-4,23307.295341944933,1.3844694370413497,0.2874863509554946
2001 Q1,-0.15998864856774087,-0.0762266386851422,-0.10142079783645766,0.8510923850419578,0.19882127987472306,0.0015078760543715622,0.1678186581565405,1.8127689365133008,-0.27460310625914863
2001 Q2,-0.1572416830575913,-0.08114200178480288,-0.08737242192011042,0.8494795079340139,0.19724517242481807,0.001978482151355573,0.17585786866457712,2.1162405918774665,-0.5064363481397215
2001 Q3,-0.15211042663148602,-0.0769771989032908,-0.07720137894673071,0.8431403633767887,0.19583426802330917,0.002314279425614282,0.5202007033251496,2.5561554178069557,-0.8398582968665087
2001 Q4,-0.1470987138446485,-0.0764045908118659,-0.06420217299513413,0.8349359029799003,0.19776821156447558,0.002596640081335697,0.6094107247166355,2.9340625028025684,-1.0003911210628575
2002 Q1,-0.13945019024444927,-0.07567300353231708,-0.05347087561208772,0.8279123651957807,0.20016830933203658,0.0018813718905524425,0.06995916969598265,3.1639548901491366,-1.0250910093763328
2002 Q2,-0.13850866623205696,-0.07676212837415691,-0.05179783504848496,0.8255575191949668,0.19909237243343347,0.0019030898396299992,0.1734592981123658,3.2335778497030536,-0.8549680467980642
2002 Q3,-0.13840850343267483,-0.07713307087372258,-0.052403125949354104,0.8218517625085052,0.19858285887076121,0.0024725841578755615,0.18544763876939976,3.354023153976999,-0.7033498018198479
2002 Q4,-0.13958632788711298,-0.07190061899637767,-0.05129692503329911,0.8050056047590901,0.20714374701145022,0.002030571574668527,0.6588610965462834,3.8696094655160893,-0.8390806585780022
2003 Q1,-0.13611414533506488,-0.07102080209818747,-0.0474173608782567,0.7972832250431257,0.21048712547295345,0.002558126446291192,0.4933924639525801,4.089756494478174,-0.7501974853461669
2003 Q2,-0.13559075084137287,-0.07141044497405033,-0.04641625769110705,0.7948818082422158,0.21004509099586174,0.002668640570110248,0.11010289395958653,4.163131461233849,-0.4822646505946043
2003 Q3,-0.13895523050018987,-0.06303111722741712,-0.04290020035589555,0.8056495065679649,0.20335108747202266,0.002152850061819317,1.4760156502197126,3.7637466551063063,0.05274937099296157
2003 Q4,-0.13749676755521226,-0.059972182015650626,-0.0403314009493984,0.8119669420081368,0.1985482434141226,0.0034527927457924774,0.16690343122003254,3.523028575686592,0.40450582703271576
2004 Q1,-0.13702836388364079,-0.05755387458549165,-0.0414995733597172,0.8140692901251891,0.1963392438057052,0.003015072385614168,0.47500547621109646,3.528451530376765,0.4453626959283031
2004 Q2,-0.13647425339353447,-0.057697570319962026,-0.03849330070244139,0.8152916614571101,0.19378318282015364,0.0030486222541379064,0.9251673571394365,3.4222210348920483,0.4621795661016976
2004 Q3,-0.13732986876953218,-0.056367880164987276,-0.042168266025737304,0.815422882005442,0.19289721987209008,0.002151249292464292,0.5176440072128071,3.6236239770862584,0.22478959104907215
2004 Q4,-0.13584965376053565,-0.05885008803483912,-0.03747116246268131,0.8163754773686887,0.190427434000667,0.002447752094457379,0.4560016443967107,3.529884729053203,0.29494031799327175
