"date","real_gdp"
1980-01-01,NA
1980-04-01,NA
1980-07-01,NA
1980-10-01,NA
1981-01-01,NA
1981-04-01,NA
1981-07-01,NA
1981-10-01,NA
1982-01-01,NA
1982-04-01,NA
1982-07-01,NA
1982-10-01,NA
1983-01-01,NA
1983-04-01,NA
1983-07-01,NA
1983-10-01,NA
1984-01-01,NA
1984-04-01,NA
1984-07-01,NA
1984-10-01,NA
1985-01-01,NA
1985-04-01,NA
1985-07-01,NA
1985-10-01,NA
1986-01-01,NA
1986-04-01,NA
1986-07-01,NA
1986-10-01,NA
1987-01-01,NA
1987-04-01,NA
1987-07-01,NA
1987-10-01,NA
1988-01-01,NA
1988-04-01,NA
1988-07-01,NA
1988-10-01,NA
1989-01-01,NA
1989-04-01,NA
1989-07-01,NA
1989-10-01,NA
1990-01-01,79.8884582159041
1990-04-01,80.8940745074327
1990-07-01,81.8292180547092
1990-10-01,83.0752504263283
1991-01-01,84.4075250804783
1991-04-01,85.6379850393437
1991-07-01,86.5384157469296
1991-10-01,87.1285091771269
1992-01-01,87.289198130892
1992-04-01,87.6587852649301
1992-07-01,87.9377101043811
1992-10-01,88.3478438789969
1993-01-01,88.9020087026304
1993-04-01,89.6201552761374
1993-07-01,90.20608652595
1993-10-01,90.4990822767031
1994-01-01,90.897277883216
1994-04-01,91.0196991465846
1994-07-01,91.1096326568883
1994-10-01,91.0248759645086
1995-01-01,90.6259856686706
1995-04-01,91.122959132332
1995-07-01,91.366956513629
1995-10-01,91.4479479453029
1996-01-01,91.5321781956926
1996-04-01,91.5938307861038
1996-07-01,91.5545763265401
1996-10-01,91.4159792915684
1997-01-01,91.2409850028914
1997-04-01,91.2791219304112
1997-07-01,91.1589153699378
1997-10-01,91.0219250256534
1998-01-01,90.9802093338018
1998-04-01,90.9592342169286
1998-07-01,90.6983292377045
1998-10-01,90.4371816420525
1999-01-01,90.4452727594814
1999-04-01,90.7037529268477
1999-07-01,90.9049380621887
1999-10-01,90.9548987563172
2000-01-01,91.3675525232891
2000-04-01,91.7461934881211
2000-07-01,92.1258360647509
2000-10-01,92.5391275759902
2001-01-01,93.0021455097609
2001-04-01,93.11245493621
2001-07-01,93.0430477340275
2001-10-01,93.0025485735625
2002-01-01,92.6668739223036
2002-04-01,92.7141048488815
2002-07-01,92.852707322663
2002-10-01,93.0181721346088
2003-01-01,93.457226307982
2003-04-01,93.9756811364379
2003-07-01,94.1387848343483
2003-10-01,94.277344424308
2004-01-01,94.2965376935265
2004-04-01,94.2884242465499
2004-07-01,94.4189685721744
2004-10-01,94.6210283944219
2005-01-01,94.9081887058971
2005-04-01,95.0964476209289
2005-07-01,95.534346231926
2005-10-01,96.0703382861906
2006-01-01,96.7466293498016
2006-04-01,97.2533901693939
2006-07-01,97.6248076431403
2006-10-01,98.3722070243522
2007-01-01,99.2412883094275
2007-04-01,99.7488172665892
2007-07-01,100.161436180224
2007-10-01,100.755120341067
2008-01-01,101.080593983183
2008-04-01,101.445445077684
2008-07-01,101.334125719429
2008-10-01,101.726852299163
2009-01-01,101.882794980844
2009-04-01,101.944582708456
2009-07-01,102.14500131892
2009-10-01,102.283777306651
2010-01-01,102.344613647529
2010-04-01,102.570240065989
2010-07-01,102.527837980594
2010-10-01,102.658430288104
2011-01-01,102.860894096796
2011-04-01,102.508207267838
2011-07-01,102.407761715245
2011-10-01,102.492519425182
2012-01-01,102.775200702637
2012-04-01,102.8829433615
2012-07-01,103.02144182921
2012-10-01,102.935372619467
2013-01-01,102.860606524022
2013-04-01,102.906828282567
2013-07-01,102.817602192899
2013-10-01,102.827494004145
2014-01-01,102.707092053226
2014-04-01,102.577491210945
2014-07-01,102.119690103875
2014-10-01,101.663361256533
2015-01-01,101.442403799644
2015-04-01,101.104750072279
2015-07-01,100.784837033848
2015-10-01,100.486047194093
2016-01-01,100.434377614632
2016-04-01,100.531085825958
2016-07-01,100.563597369532
2016-10-01,100.487545720507
2017-01-01,100.13708008597
2017-04-01,99.9350713873443
2017-07-01,100.030163613068
2017-10-01,100.313599294689
2018-01-01,100.690982217454
2018-04-01,100.887686826069
2018-07-01,101.029812026524
2018-10-01,100.910140166165
2019-01-01,101.063826851323
2019-04-01,101.017757827834
2019-07-01,100.80217608324
2019-10-01,100.431260107327
2020-01-01,99.977950735313
2020-04-01,99.7980842009502
2020-07-01,99.9115672550329
2020-10-01,100.298352571272
2021-01-01,100.74395848719
2021-04-01,101.603033192694
2021-07-01,102.147795666069
2021-10-01,102.770156321223
2022-01-01,104.154516551368
2022-04-01,104.802117880975
2022-07-01,105.40242600754
2022-10-01,105.886904506864
2023-01-01,106.266001900505
2023-04-01,106.160818423514
2023-07-01,106.000600104178
2023-10-01,106.06188649435
2024-01-01,106.612882378754
2024-04-01,106.830019367846
2024-07-01,107.242626267228
2024-10-01,107.361839784792
2025-01-01,107.622360173237
2025-04-01,107.478004377828
2025-07-01,107.215738329644
